QuestionNumber,FinalQuestion,GeneratedAnswerOptions,CorrectAnswer,Explanation
Q111,"You are processing streaming data from vehicles that pass through a toll booth. You need to use Azure Stream Analytics to return the license plate, vehicle make, and hour the last vehicle passed during each 10- minute window. How should you complete the query?","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q113,"You have an Azure Data Factory instance that contains two pipelines named Pipeline? and Pipeline2. Pipeline’ has the activities shown in the following exhibit. Stored procedure ‘Set variable = stored procedure -—» (2X) Set variablet . Pipeline2 has the activities shown in the following exhibit. Execute Pipeline 7 Set variable » Execute Pipelinet ™ * (.X) Set variablet You execute Pipeline2, and Stored procedure! in Pipeline’ fails. What is the status of the pipeline runs?","A. Use Azure Data Factory, B. Use Azure Stream Analytics, C. Use Azure Functions, D. Use Azure Event Grid",A. Use Azure Data Factory,Azure Data Factory is the best tool for managing and automating data pipelines for transformation and ingestion.
Q114,You have the following table named Employees. Ben ‘Smith 2017-12-15 | Standard You need to calculate the employee_type value based on the hire_date value. How should you complete the Transact-SQL statement?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q115,"You want to modify user-defined functions using T-SQL. The functions do not require a specific user-defined type, and you have ALTER permission on the schema. However, your ALTER FUNCTION requests fail. What will be the best possible cause? You are trying to change a scalar-valued function to a table-valued function. You must have ALTER permission on both the schema and on the function. You need EXECUTE permission on the user-defined type. The request altered related dependent functions and stored procedures. 9:op> You can modify user-defined functions in SQL Server by using SQL Server Management Studio or Transact-SQL. Modifying user- defined functions as described below will not change the functions’ permissions, nor will it affect any dependent functions, stored procedures, or triggers. Changing a user-defined function requires ALTER permission on the function or on the schema, not both. If the function specifies a user-defined type, you need EXECUTE permission on the type, but in this scenario EXECUTE permission is not required. When you use the ALTER function there are certain limitations ALTER FUNCTION cannot be used to perform any of the following actions: + Change a scalar valued function to a table-valued function, or vice versa. * Change a e function to a multistatement function, or vice versa. ","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q116,"You have an Azure Synapse Analytics workspace named WS1. You have an Azure Data Lake Storage Gen2 container that contains JSON-formatted files in nei ‘2020-06-10""19:49:34.5592"", the following format. mente You need to use the serverless SQL pool in WS1 to read the files. How should you complete the Transact-SQL statement?","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q117,You have an Apache Spark DataFrame named temperatures. A sample of the data is shown in the following table. You need to produce the following table by using a Spark SQL query. Year JAN FEB MAR: APR MAY 2019 23 41 52 76 92 2020 24 42 [49 78 91 2021 26 53 [34 79 95 How should you complete the query?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q118,"You have an Azure Data Factory that contains 10 pipelines. You need to label each pipeline with its main purpose of either ingest, transform, or load. The labels must be available for grouping and filtering when using the monitoring experience in Data Factory. What should you add to each pipeline?","A. Use Azure Data Factory, B. Use Azure Stream Analytics, C. Use Azure Functions, D. Use Azure Event Grid",A. Use Azure Data Factory,Azure Data Factory is the best tool for managing and automating data pipelines for transformation and ingestion.
Q119,"A data engineer has two tables of structured data that needs to be stored in an Azure Synapse Analytics. The Sales table consists of 3 billion rows and 4 columns. The three main columns used for analysis are OrderDate, CustomerReference, and ProductID. Approximately 10 million rows will be added each day. The Products table will hold product information such as color, size, category, subcategory, list price, manufacturing cost, and supplier. Most of the analytics would require joins between the two tables. How should the distribution of the tables be set up within the SQL Synapse Analytics?","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q120,"The following code segment is used to create an Azure Databricks cluster. For each of the following statements, select Yes if the statement is true. Otherwise, select No. NOTE: Each correct selection is worth one point. ","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q121,You are designing a statistical analysis solution that will use custom proprietary Python functions on near real-time data from Azure Event Hubs. You need to recommend which Azure service to use to perform the statistical analysis. The solution must minimize latency. What should you recommend?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q122,You have an enterprise data warehouse in Azure Synapse Analytics that contains a table named FactOnlineSales. The table contains data from the start of 2009 to the end of 2012. You need to improve the performance of queries against FactOnlineSales by using table partitions. The solution must meet the following requirements: ~ Create four partitions based on the order date. c» Ensure that each partition contains all the orders placed during a given calendar year. How should you complete the T-SQL command?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q123,A Data Engineer is setting up an Azure Data Factory pipeline to move data from an on-premises Microsoft SQL Server Database to Azure Synapse Analytics. The source table will be loaded by an internal process between 1:00 am and 3:00 am. The loading of the data should be started at 3:30 am. The transfer should be performed in the most efficient manner. What objects types will be required to setup this Azure Data Factory?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q124,"You need to implement a Type 3 slowly changing dimension (SCD) for product category data in an Azure Synapse Analytics dedicated SQL pool. You have a table that was created by using the following Transact-SQL statement. Which two columns should you add to the table? Each correct CME Teepe teeol (besbeogvce) -t [ProductKey} [int] IDENTITY (1,1) NOT NULL, answer presents part of the solution. [ProductSourceID] [int] NOT NULL, NOTE: Each correct selection is worth one point. (ProductName) [nvarchar] (100) NULL, [color] [varchar] (15) NULL, [sellstartDate] [date] NOT NULL, [sellgndDate] [date] NULL, [RowInsertedDateTime] [datetime] NOT NULL, [RowUpdatedDateTime] [datetime] NOT NULL, [ETEAuditID] [int] NOT NULL )","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q125,You are designing an Azure Stream Analytics solution that will analyze Twitter data. You need to count the tweets in each 10-second window. The solution must ensure that each tweet is counted only once. Solution: You use a hopping window that uses a hop size of 5 seconds and a window size 10 seconds. Does this meet the goal? ,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q126,You are building an Azure Stream Analytics job to identify how much time a user spends interacting with a feature on a webpage. The job receives events based on user actions on the webpage. Each row of data represents an event. Each event has a type of either ‘start’ or ‘end’. You need to calculate the duration between start and end events. How should you complete the query?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q127,You are the data engineer for a very large e-commerce website with a global userbase. You have a data pipeline that gathers clickstream with Azure Event Hub and sends it to Azure Stream Analytics. You need to design a query that will: Aggregate the number of clicks into distinct periods of time «Divide the numbers based on the user region Count each click once and only once Which of the following functions should be used in your query?,"A. Use Azure Data Factory, B. Use Azure Stream Analytics, C. Use Azure Functions, D. Use Azure Event Grid",A. Use Azure Data Factory,Azure Data Factory is the best tool for managing and automating data pipelines for transformation and ingestion.
Q128,"You are creating an Azure Data Factory data flow that will ingest data from a CSV file, cast columns to specified types of data, and insert the data into a table in an Azure Synapse Analytic dedicated SQL pool. The CSV file contains three columns named username, comment, and date. The data flow already contains the following: ce A source transformation. c® A Derived Column transformation to set the appropriate types of data. c® A sink transformation to land the data in the pool. You need to ensure that the data flow meets the following requirements: c® All valid rows must be written to the destination table. c® Truncation errors in the comment column must be avoided proactively. c® Any rows containing comment values that will cause truncation errors upon insert must be written to a file in blob storage. Which two actions should you perform? Each correct answer presents part of the solution. NOTE: Each correct selection is worth one point.","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q129,"You need to create an Azure Data Factory pipeline to process data for the following three departments at your company: Ecommerce, retail, and wholesale. The solution must ensure that data can also be processed for the entire company. How should you complete the Data Factory data flow script?","A. Use Azure Data Factory, B. Use Azure Stream Analytics, C. Use Azure Functions, D. Use Azure Event Grid",A. Use Azure Data Factory,Azure Data Factory is the best tool for managing and automating data pipelines for transformation and ingestion.
Q130,You have an Azure Data Lake Storage Gen2 account that contains a JSON file for customers. The file contains two attributes named FirstName and LastName. You need to copy the data from the JSON file to an Azure Synapse Analytics table by using Azure Databricks. A new column must be created that concatenates the FirstName and LastName values. You create the following components: c® A destination table in Azure Synapse c An Azure Blob storage container c® A service principal Which five actions should you perform in sequence next in is Databricks notebook?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q131,Which of the following statements regarding Azure Stream Analytics’ event ordering feature to manage late- arrived data is incorrect?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q132,You build an Azure Data Factory pipeline to move data from an Azure Data Lake Storage Gen2 container to a database in an Azure Synapse Analytics dedicated SQL pool. Data in the container is stored in the following folder structure. Jin /{YYYY}/{MM}/{DD}/{HH}/{mm} The earliest folder is /in/2021/01/01/00/00. The latest folder is /in/2021/01/15/01/45. You need to configure a pipeline trigger to meet the following requirements: c® Existing data must be loaded. c® Data must be loaded every 30 minutes. c® Late-arriving data of up to two minutes must be included in the load for the time at which the data should have arrived. How should you configure the pipeline trigger?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q133,You are designing a near real-time dashboard solution that will visualize streaming data from remote sensors that connect to the internet. The streaming data must be aggregated to show the average value of each 10-second interval. The data will be discarded after being displayed in the dashboard. The solution will use Azure Stream Analytics and must meet the following requirements: c® Minimize latency from an Azure Event hub to the dashboard. c® Minimize the required storage. c® Minimize development effort. Answer Area What should you include in the solution?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q134,"You are configuring an Azure SQL database with geo-replication enabled, and now want to configure Azure SQL Database auditing to monitor database events and ensure compliance. The critical consideration is to choose an auditing strategy that will monitor the primary and secondary databases so that it can maintain compliance in the event of a failover. Which choice does Microsoft recomend to meet this auditing requirement?","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q135,You have an Azure Storage account and a data warehouse in Azure Synapse Analytics in the UK South region. You need to copy blob data from the storage account to the data warehouse by using Azure Data Factory. The solution must meet the following requirements: c® Ensure that the data remains in the UK South region at all times. ©® Minimize administrative effort. Which type of integration runtime should you use?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q136,You have an Azure SQL database named Database! and two Azure event hubs named HubA and HubB. The data consumed from each source is shown in the following table. You need to implement Azure Stream Analytics to calculate the average fare per mile by driver. How should you configure the Stream Analytics input for each source?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q137,You have an Azure Stream Analytics job that receives clickstream data from an Azure event hub. You need to define a query in the Stream Analytics job. The query must meet the following requirements: c® Count the number of clicks within each 10-second window based on the country of a visitor. c® Ensure that each click is NOT counted more than once. How should you define the Query?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q138,You are building an Azure Analytics query that will receive input data from Azure loT Hub and write the results to Azure Blob storage. You need to calculate the difference in the number of readings per sensor per hour. How should you complete the query?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q139,You need to schedule an Azure Data Factory pipeline to execute when a new file arrives in an Azure Data Lake Storage Gen2 container. Which type of trigger should you use?,"A. Store in Parquet format, B. Store in JSON format, C. Store in CSV format, D. Store in TXT format",A. Store in Parquet format,Parquet format is best for optimized query performance and reduced storage costs in Azure Data Lake.
Q140,You have two Azure Data Factory instances named ADFdev and ADFprod. ADFdev connects to an Azure DevOps Git repository. You publish changes from the main branch of the Git repository to ADFdev. You need to deploy the artifacts from ADFdev to ADFprod. What should you do first?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q141,You are developing a solution that will stream to Azure Stream Analytics. The solution will have both streaming data and reference data. Which input type should you use for the reference data?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q142,"You are designing an Azure Stream Analytics job to process incoming events from sensors in retail environments. You need to process the events to produce a running average of shopper counts during the previous 15 minutes, calculated at five-minute intervals. Which type of window should you use?","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q143,"You are designing a monitoring solution for a fleet of 500 vehicles. Each vehicle has a GPS tracking device that sends data to an Azure event hub once per minute. You have a CSV file in an Azure Data Lake Storage Gen2 container. The file maintains the expected geographical area in which each vehicle should be. You need to ensure that when a GPS position is outside the expected area, a message is added to another event hub for processing within 30 seconds. The solution must minimize cost. What should you include in the solution?","A. Store in Parquet format, B. Store in JSON format, C. Store in CSV format, D. Store in TXT format",A. Store in Parquet format,Parquet format is best for optimized query performance and reduced storage costs in Azure Data Lake.
Q144,You are designing an Azure Databricks table. The table will ingest an average of 20 million streaming events per day. You need to persist the events in the table for use in incremental load pipeline jobs in Azure Databricks. The solution must minimize storage costs and incremental load times. What should you include in the solution?,"A. Use Azure Data Factory, B. Use Azure Stream Analytics, C. Use Azure Functions, D. Use Azure Event Grid",A. Use Azure Data Factory,Azure Data Factory is the best tool for managing and automating data pipelines for transformation and ingestion.
Q145,"You have a self-hosted integration runtime in Azure Data Factory. The current status of the integration runtime has the following configurations: c® Status: Running c Type: Self-Hosted ‘Answer Area ce Version: 4.4.7292.1 > Running / Registered Node(s): 1/1 c® High Availability Enabled: False ce Linked Count: 0 © Queue Length: 0 c> Average Queue Duration. 0.00s If the X-M node becomes unavailable, all executed pipelines will: The integration runtime has the following node details: The number of concurrent jobs and the c> Name: X-M CPU usage indicate that the Concurrent c® Status: Running Jobs (Running/Limit) value should be: ce Version: 4.4.7292.1 c® Available Memory: 7697MB © CPU Utilization: 6% c> Network (In/Out): 1.21KBps/0.83KBps c® Concurrent Jobs (Running/Limit): 2/14 Dispatcher/Worker al Status: v fail until the node comes back online switch to another integration runtime exceed the CPU limit iv raised lowered left as is ","A. Use Azure Data Factory, B. Use Azure Stream Analytics, C. Use Azure Functions, D. Use Azure Event Grid",A. Use Azure Data Factory,Azure Data Factory is the best tool for managing and automating data pipelines for transformation and ingestion.
Q146,You have an Azure Databricks workspace named workspace in the Standard pricing tier. You need to configure workspace] to support autoscaling all-purpose clusters. The solution must meet the following requirements: © Automatically scale down workers when the cluster is underutilized for three minutes. ©® Minimize the time it takes to scale to the maximum number of workers. © Minimize costs. What should you do first?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q147,"You are designing an Azure Stream Analytics solution that will analyze Twitter data. You need to count the tweets in each 10-second window. The solution must ensure that each tweet is counted only once. Solution: You use a tumbling window, and you set the window size to 10 seconds. Does this meet the goal?","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q148,You are designing an Azure Stream Analytics solution that will analyze Twitter data. You need to count the tweets in each 10-second window. The solution must ensure that each tweet is counted only once. Solution: You use a session window that uses a timeout size of 10 seconds. Does this meet the goal?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q149,You use Azure Stream Analytics to receive data from Azure Event Hubs and to output the data to an Azure Blob Storage account. You need to output the count of records received from the last five minutes every minute. Which windowing function should you use?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q150,You configure version control for an Azure Data Factory t ¢ instance as shown in the following exhibit. Use the drop-down menus to select the answer choice that completes each statement based on the information presented in the graphic. NOTE: Each correct selection is worth one point. Answer Area ‘Azure Resource Manager (ARM) templates for the pipeline assets are stored in [answer choice] B Unked services {© Integration runtimes @  scurcecontt By © Steontoaton © AaM template [@ Parameterization template tor $ ones Global parameters secu © customer managed ey Git repository Gi repository ntrmationaszocated with your data factory CVCD best practices [ ® senting Disconnect Repository type ‘Azure DevOps Git ‘Azure DevOps Account CONTOSO Project name ata Repository name duh bateheth Collaboration branch main Publish branch adt publish Root folder 1 if main adf_publish Parameterization template ,"A. Use Azure Data Factory, B. Use Azure Stream Analytics, C. Use Azure Functions, D. Use Azure Event Grid",A. Use Azure Data Factory,Azure Data Factory is the best tool for managing and automating data pipelines for transformation and ingestion.
Q151,You are designing an Azure Stream Analytics solution that receives instant messaging data from an Azure Event Hub. You need to ensure that the output from the Stream Analytics job counts the number of messages per time zone every 15 seconds. How should you complete the Stream Analytics query?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q152,You have an Azure Data Factory instance named ADF1 and two Azure Synapse Analytics workspaces named WS1 and WS2. ADF1 contains the following pipelines: c® P1: Uses a copy activity to copy data from a nonpartitioned table in a dedicated SQL pool of WS1 to an Azure Data Lake Storage Gen2 account -® P2: Uses a copy activity to copy data from text-delimited files in an Azure Data Lake Storage Gen2 account to a nonpartitioned table in a dedicated SQL pool of WS2 You need to configure P1 and P2 to maximize parallelism and performance. Which dataset settings should you configure for the copy activity if each pipeline?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q153,"You have an Azure Storage account that generates 200,000 new files daily. The file names have a format of {YYYY}/{MM}/{DD}/{HH}/{CustomerID}.csv. You need to design an Azure Data Factory solution that will load new data from the storage account to an Azure Data Lake once hourly. The solution must minimize load times and costs. How should you configure the solution?","A. Store in Parquet format, B. Store in JSON format, C. Store in CSV format, D. Store in TXT format",A. Store in Parquet format,Parquet format is best for optimized query performance and reduced storage costs in Azure Data Lake.
Q154,You have the following Azure Data Factory pipelines: c® Ingest Data from System1 > Ingest Data from System2 co Populate Dimensions c® Populate Facts Ingest Data from System1 and Ingest Data from System2 have no dependencies. Populate Dimensions must execute after Ingest Data from System] and Ingest Data from System2. Populate Facts must execute after Populate Dimensions pipeline. All the pipelines must execute every eight hours. What should you do to schedule the pipelines for execution?,"A. Use Azure Data Factory, B. Use Azure Stream Analytics, C. Use Azure Functions, D. Use Azure Event Grid",A. Use Azure Data Factory,Azure Data Factory is the best tool for managing and automating data pipelines for transformation and ingestion.
Q155,"You are responsible for providing access to an Azure Data Lake Storage Gen2 account. Your user account has contributor access to the storage account, and you have the application ID and access key. You plan to use PolyBase to load data into an enterprise data warehouse in Azure Synapse Analytics. You need to configure PolyBase to connect the data warehouse to storage account. Which three components should you create in sequence?","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q156,"You are monitoring an Azure Stream Analytics job by using metrics in Azure. You discover that during the last 12 hours, the average watermark delay is consistently greater than the configured late arrival tolerance. What is a possible cause of this behavior?","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q157,You are building an Azure Stream Analytics job to retrieve game data. You need to ensure that the job returns the highest scoring record for each five-minute time interval of each game. How should you complete the Stream Analytics query?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q158,"You have an Azure Data Lake Storage account that contains a staging zone. You need to design a daily process to ingest incremental data from the staging zone, transform the data by executing an R script, and then insert the transformed data into a data warehouse in Azure Synapse Analytics. Solution: You use an Azure Data Factory schedule trigger to execute a pipeline that copies the data to a staging table in the data warehouse, and then uses a stored procedure to execute the R script. Does this meet the goal? ","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q159,"You plan to create an Azure Databricks workspace that has a tiered structure. The workspace will contain the following three workloads: c® A workload for data engineers who will use Python and SQL. ® A workload for jobs that will run notebooks that use Python, Scala, and SQL. © A workload that data scientists will use to perform ad hoc analysis in Scala and R. The enterprise architecture team at your company identifies the following standards for Databricks environments: c® The data engineers must share a cluster. ® The job cluster will be managed by using a request process whereby data scientists and data engineers provide packaged notebooks for deployment to the cluster. > All the data scientists must be assigned their own cluster that terminates automatically after 120 minutes of inactivity. Currently, there are three data scientists. You need to create the Databricks clusters for the workloads. Solution: You create a High Concurrency cluster for each data scientist, a High Concurrency cluster for the data engineers, and a Standard cluster for the jobs. Does this meet the goal? ","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q160,You are designing an Azure Databricks cluster that runs user-defined local processes. You need to recommend a cluster configuration that meets the following requirements: c® Minimize query latency. > Maximize the number of users that can run queries on the cluster at the same time. co Reduce overall costs without compromising other requirements. Which cluster type should you recommend?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q161,"You are building an Azure Data Factory solution to process data received from Azure Event Hubs, and then ingested into an Azure Data Lake Storage Gen2 container. The data will be ingested every five minutes from devices into JSON files. The files have the following naming pattern. /{deviceType}/in/{YYYY}/{MM}/{DD}/{HH}/{devicelD}_{YYYY}{MM}{DD}HH}{mm}.json You need to prepare the data for batch data processing so that there is one dataset per hour per deviceType. The solution must minimize read times. How should you configure the sink for the copy activity?","A. Store in Parquet format, B. Store in JSON format, C. Store in CSV format, D. Store in TXT format",A. Store in Parquet format,Parquet format is best for optimized query performance and reduced storage costs in Azure Data Lake.
Q162,"You are designing an Azure Data Lake Storage Gen2 structure for telemetry data from 25 million devices distributed across seven key geographical regions. Each minute, the devices will send a JSON payload of metrics to Azure Event Hubs. You need to recommend a folder structure for the data. The solution must meet the following requirements: c® Data engineers from each region must be able to build their own pipelines for the data of their respective region only. c® The data must be processed at least once every 15 minutes for inclusion in Azure Synapse Analytics serverless SQL pools. How should you recommend completing the structure?","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q163,You are implementing an Azure Stream Analytics solution to process event data from devices. The devices output events when there is a fault and emit a repeat of the event every five seconds until the fault is resolved. The devices output a heartbeat event every five seconds after a previous event if there are no faults present. A sample of the events is shown in the following table. DevicelD EventType EventTime 78cc5ht9-w357-684r- | HeartBeat 2020-12-01T19:00.000Z You need to calculate the uptime between the faults. w4fr-kr16h6p9874e How should you complete the Stream Analytics SQL ‘78ccSht9-w357-684r- | HeartBeat 2020-12-01T 19:05.000Z juery?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q164,You are creating a new notebook in Azure Databricks that will support R as the primary language but will also support Scala and SQL. Which switch should you use to switch between languages?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q165,You have an Azure Data Factory pipeline that performs an incremental load of source data to an Azure Data Lake Storage Gen2 account. Data to be loaded is identified by a column named LastUpdatedDate in the source table. You plan to execute the pipeline every four hours. You need to ensure that the pipeline execution meets the following requirements: ® Automatically retries the execution when the pipeline run fails due to concurrency or throttling limits. > Supports backfilling existing data in the table. Which type of trigger should you use?,"A. Store in Parquet format, B. Store in JSON format, C. Store in CSV format, D. Store in TXT format",A. Store in Parquet format,Parquet format is best for optimized query performance and reduced storage costs in Azure Data Lake.
Q166,You are designing a solution that will copy Parquet files stored in an Azure Blob storage account to an Azure Data Lake Storage Gen2 account. The data will be loaded daily to the data lake and will use a folder structure of {Year}/{Month}/{Day}/. You need to design a daily Azure Data Factory data load to minimize the data transfer between the two accounts. Which two configurations should you include in the design? Each correct answer presents part of the solution. NOTE: Each correct selection is worth one point,"A. Store in Parquet format, B. Store in JSON format, C. Store in CSV format, D. Store in TXT format",A. Store in Parquet format,Parquet format is best for optimized query performance and reduced storage costs in Azure Data Lake.
Q167,You plan to build a structured streaming solution in Azure Databricks. The solution will count new events in five- minute intervals and report only events that arrive during the interval. The output will be sent to a Delta Lake table. Which output mode should you use?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q168,"You have an Azure Synapse Analytics dedicated SQL pool that contains a table named Table1. You have files that are ingested and loaded into an Azure Data Lake Storage Gen2 container named container1. You plan to insert data from the files in container into Table1 and transform the data. Each row of data in the files will produce one row in the serving layer of Table1. You need to ensure that when the source data files are loaded to container1, the DateTime is stored as an additional column in Table1. Solution: In an Azure Synapse Analytics pipeline, you use a data flow that contains a Derived Column transformation. Does this meet the goal? ","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q169,A company has decided to implement an Azure Databricks solution. Two teams in the company have different requirements. Team 1 needs to do an exploratory analysis of data in an Azure Data Lake (Gen 2) hierarchical file system. Team 2 needs to run a data processing job twice a day. The job takes about one hour to run. Which types of clusters should be used to minimize costs?,"A. Store in Parquet format, B. Store in JSON format, C. Store in CSV format, D. Store in TXT format",A. Store in Parquet format,Parquet format is best for optimized query performance and reduced storage costs in Azure Data Lake.
Q170,"A dedicated SQL pool containing user information is accidentally dropped while it is in paused state. Upon investigation, you find that no user-defined restore point was created before the SQL pool was dropped. As a result of this accident, what statement regarding a snapshot of the dedicated SQL pool is correct?","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q171,"Your company sends shared access signatures (SAS) to verified third parties for Azure storage access. To enhance security, you're considering additional options. Evaluate these security features. Which of these can be uniquely controlled through stored access policies? Limiting access to a specific IP address range Specifying when access via SAS token starts and ends Limiting access to specific Azure storage containers or objects Revoking issued SAS tokens POV>","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
